Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Disease	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation	BC --> Cell ID _OR_ BC --> Cluster ID	Number individuals
Alles et al BMCBiology	10.1186/s12915-017-0383-5	Jonathan Alles, Nikos Karaiskos, Samantha D. Praktiknjo, Stefanie Grosswendt, Philipp Wahle, Pierre-Louis Ruffault, Salah Ayoub, Luisa Schreyer, Anastasiya Boltengagen, Carmen Birchmeier, Robert Zinzen, Christine Kocks, Nikolaus Rajewsky	BMC Biol	Cell fixation and preservation for droplet-based single-cell transcriptomics	20170519	10.1101/099473	1,369	Drosophila, Human, Mouse	Brain	Drop-seq	GSE89164	""	RNA-seq	Hindbrain and cerebellum	""	""	Postnatal		Yes	""	""	""	Yes	""	""	""	
Cerosaletti et al JImmunilogy	10.4049/jimmunol.1700172	Karen Cerosaletti, Fariba Barahmand-pour-Whitman, Junbao Yang, Hannah A. DeBerg, Matthew J. Dufort, Sara A. Murray, Elisabeth Israelsson, Cate Speake, Vivian H. Gersuk, James A. Eddy, Helena Reijonen, Carla J. Greenbaum, William W. Kwok, Erik Wambre, Martin Prlic, Raphael Gottardo, Gerald T. Nepom, Peter S. Linsley	J.I.	Single-Cell RNA Sequencing Reveals Expanded Clones of Islet Antigen-Reactive CD4+ T Cells in Peripheral Blood of Subjects with Type 1 Diabetes	20170601	""	449	Human	Blood	SMARTer (C1)	GSE96569	""	RNA-seq	Islet-antigen reactive T cells	Type 1 diabetes	""	""		""	""	""	""	""	""	""	""	
Zhang et al NPlants	10.1038/nplants.2017.79	Jun Zhang, Qingpei Huang, Sheng Zhong, Andrea Bleckmann, Jiaying Huang, Xinyang Guo, Qing Lin, Hongya Gu, Juan Dong, Thomas Dresselhaus, Li-Jia Qu	Nature Plants	Sperm cells are passive cargo of the pollen tube in plant fertilization	20170606	-	2	Arabidopsis thaliana	""	Smart-seq2	GSE98145	""	RNA-seq	Pollen grains	""	""	""		No	No	No	No	No	""	""	""	
Keren-Shaul et al Cell	10.1016/j.cell.2017.05.018	Hadas Keren-Shaul, Amit Spinrad, Assaf Weiner, Orit Matcovitch-Natan, Raz Dvir-Szternfeld, Tyler K. Ulland, Eyal David, Kuti Baruch, David Lara-Astaiso, Beata Toth, Shalev Itzkovitz, Marco Colonna, Michal Schwartz, Ido Amit	Cell	A Unique Microglia Type Associated with Restricting Development of Alzheimer’s Disease	20170608	-	8,016	Mouse	Brain	MARS-seq	GSE98969	""	RNA-seq	Immune cells in whole brain, Microglia	""	WT and Tg-AD	Adult		""	""	""	""	""	""	""	""	
Antolovic et al CBiology	10.1016/j.cub.2017.05.028	Vlatka Antolović, Agnes Miermont, Adam M. Corrigan, Jonathan R. Chubb	Current Biology	Generation of Single-Cell Transcript Variability by Repression	20170608	-	433	Dictyostelium	Whole organism	SMARTer (C1)	""	""	RNA-seq	Whole organism	""	""	""		No	Yes	""	""	""	""	""	""	
Zheng et al Cell	10.1016/j.cell.2017.05.035	Chunhong Zheng, Liangtao Zheng, Jae-Kwang Yoo, Huahu Guo, Yuanyuan Zhang, Xinyi Guo, Boxi Kang, Ruozhen Hu, Julie Y. Huang, Qiming Zhang, Zhouzerui Liu, Minghui Dong, Xueda Hu, Wenjun Ouyang, Jirun Peng, Zemin Zhang	Cell	Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing	20170615	-	5,063	Human	Liver, Tumor	Tang & Smart-seq2	GSE98638	""	RNA-seq	Infiltrating T cells in liver cancer	""	""	""		""	""	""	""	""	""	""	""	
Nirschl et al Cell	10.1016/j.cell.2017.06.016	Christopher J. Nirschl, Mayte Suárez-Fariñas, Benjamin Izar, Sanjay Prakadan, Ruth Dannenfelser, Itay Tirosh, Yong Liu, Qian Zhu, K. Sanjana P. Devi, Shaina L. Carroll, David Chau, Melika Rezaee, Tae-Gyun Kim, Ruiqi Huang, Judilyn Fuentes-Duculan, George X. Song-Zhao, Nicholas Gulati, Michelle A. Lowes, Sandra L. King, Francisco J. Quintana, Young-suk Lee, James G. Krueger, Kavita Y. Sarin, Charles H. Yoon, Levi Garraway, Aviv Regev, Alex K. Shalek, Olga Troyanskaya, Niroshana Anandasabapathy	Cell	IFNγ-Dependent Tissue-Immune Homeostasis Is Co-opted in the Tumor Microenvironment	20170629	-	333	Human	Lymp node, Tumor	Smart-seq2	GSE100337	""	RNA-seq	DCs	""	""	""		""	""	""	""	""	""	""	""	
Theurich et al CMetabolism	10.1016/j.cmet.2017.05.018	Sebastian Theurich, Eva Tsaousidou, Ruth Hanssen, Adelheid M. Lempradl, Jan Mauer, Katharina Timper, Katharina Schilbach, Kat Folz-Donahue, Christian Heilinger, Veronika Sexl, John Andrew Pospisilik, F. Thomas Wunderlich, Jens C. Brüning	Cell Metabolism	IL-6/Stat3-Dependent Induction of a Distinct, Obesity-Associated NK Cell Subpopulation Deteriorates Energy and Glucose Homeostasis	20170705	-	63	Human, Mouse	Blood	CEL-seq2	GSE99068	""	RNA-seq	PBMC	""	Obese vs Lean	""		""	""	""	""	""	""	""	""	
Wang et al CCell	10.1016/j.ccell.2017.06.003	Qianghu Wang, Baoli Hu, Xin Hu, Hoon Kim, Massimo Squatrito, Lisa Scarpace, Ana C. deCarvalho, Sali Lyu, Pengping Li, Yan Li, Floris Barthel, Hee Jin Cho, Yu-Hsi Lin, Nikunj Satani, Emmanuel Martinez-Ledesma, Siyuan Zheng, Edward Chang, Charles-Etienne Gabriel Sauvé, Adriana Olar, Zheng D. Lan, Gaetano Finocchiaro, Joanna J. Phillips, Mitchel S. Berger, Konrad R. Gabrusiewicz, Guocan Wang, Eskil Eskilsson, Jian Hu, Tom Mikkelsen, Ronald A. DePinho, Florian Muller, Amy B. Heimberger, Erik P. Sulman, Do-Hyun Nam, Roel G.W. Verhaak	Cancer Cell	Tumor Evolution of Glioma-Intrinsic Gene Expression Subtypes Associates with Immunological Changes in the Microenvironment	20170710	""	133	Human	Brain	SMARTer (C1)	""	""	RNA-seq	Glioblastoma	""	""	""		""	""	""	""	""	""	""	""	
Shi et al PCell	10.1007/s13238-017-0450-2	Zhanping Shi, Yanan Geng, Jiping Liu, Huina Zhang, Liqiang Zhou, Quan Lin, Juehua Yu, Kunshan Zhang, Jie Liu, Xinpei Gao, Chunxue Zhang, Yinan Yao, Chong Zhang, Yi E. Sun	Protein Cell	Single-cell transcriptomics reveals gene signatures and alterations associated with aging in distinct neural stem/progenitor cell subpopulations	20170726	""	22	Mouse	Brain	Smart-seq2	""	""	RNA-seq	""	""	Young vs Aged	2 months, 29 months		""	""	""	""	""	""	""	""	
Moussy et al PLoSBiology	10.1371/journal.pbio.2001867	Alice Moussy, Jérémie Cosette, Romuald Parmentier, Cindy da Silva, Guillaume Corre, Angélique Richard, Olivier Gandrillon, Daniel Stockholm, András Páldi	PLoS Biol	Integrated time-lapse and single-cell transcription studies highlight the variable and dynamic nature of human hematopoietic cell fate commitment	20170727	""	435	Human	Blood	""	""	""	qPCR	Cord blood-derived CD34+ differentiation	""	hours 0, 24, 48, 72, 96	""		""	""	""	""	""	""	""	""	
Stoeckius et al NMethods	10.1038/nmeth.4380	Marlon Stoeckius, Christoph Hafemeister, William Stephenson, Brian Houck-Loomis, Pratip K Chattopadhyay, Harold Swerdlow, Rahul Satija, Peter Smibert	Nat Methods	Simultaneous epitope and transcriptome measurement in single cells	20170731	""	8,005	Human, Mouse	Culture, Blood	CITE-seq	GSE100866	""	RNA-seq	Cord blood mononuclear cells	""	""	""		""	""	""	""	""	""	""	""	
Mohammed et al CReports	10.1016/j.celrep.2017.07.009	Hisham Mohammed, Irene Hernando-Herraez, Aurora Savino, Antonio Scialdone, Iain Macaulay, Carla Mulas, Tamir Chandra, Thierry Voet, Wendy Dean, Jennifer Nichols, John C. Marioni, Wolf Reik	Cell Reports	Single-Cell Landscape of Transcriptional Heterogeneity and Cell Fate Decisions during Mouse Early Gastrulation	20170801	-	1,219	Mouse	Embryo	G&T-seq	GSE100597	""	RNA-seq	E3.5 to E6.5 embryos	""	""	E3.5 - E6.5	8	Yes	Yes	No	Yes	No	""	""	""	
See et al NCommunications	10.1038/s41467-017-00319-8	Kelvin See, Wilson L. W. Tan, Eng How Lim, Zenia Tiang, Li Ting Lee, Peter Y. Q. Li, Tuan D. A. Luu, Matthew Ackers-Johnson, Roger S. Foo	Nat Commun	Single cardiomyocyte nuclear transcriptomes reveal a lincRNA-regulated de-differentiation and cell cycle stress-response in vivo	20170802	-	257	Mouse	Heart	SMARTer (C1)	SRP049944	""	RNA-seq	Cardiomyocytes	""	""	""		""	""	""	""	""	""	""	""	
Cao et al Science	10.1126/science.aam8940	Junyue Cao, Jonathan S. Packer, Vijay Ramani, Darren A. Cusanovich, Chau Huynh, Riza Daza, Xiaojie Qiu, Choli Lee, Scott N. Furlan, Frank J. Steemers, Andrew Adey, Robert H. Waterston, Cole Trapnell, Jay Shendure	Science	Comprehensive single-cell transcriptional profiling of a multicellular organism	20170817	10.1101/104844	42,000	C elegans	Whole organism	sci-RNA-seq	GSE98561	""	RNA-seq	Whole larva	""	""	L2	29	""	""	""	""	""	""	None	""	
Habib et al NMeth	10.1038/nmeth.4407	Naomi Habib, Inbal Avraham-Davidi, Anindita Basu, Tyler Burks, Karthik Shekhar, Matan Hofree, Sourav R Choudhury, François Aguet, Ellen Gelfand, Kristin Ardlie, David A Weitz, Orit Rozenblatt-Rosen, Feng Zhang, Aviv Regev	Nat Methods	Massively parallel single-nucleus RNA-seq with DroNc-seq	20170828	10.1101/115196	39,111	Mouse, Human	Brain	DroNc-seq	SCP90	""	RNA-seq	Prefrontal cortex and hippocampus	""	""	Adult	21	""	""	""	""	Yes	""	""	""	
Peterson et al NBT	10.1038/nbt.3973	Vanessa M Peterson, Kelvin Xi Zhang, Namit Kumar, Jerelyn Wong, Lixia Li, Douglas C Wilson, Renee Moore, Terrill K McClanahan, Svetlana Sadekova, Joel A Klappenbach	Nat Biotechnol	Multiplexed quantification of proteins and transcripts in single cells	20170830	-	19,111	Human	Blood	REAP-seq	GSE100501	""	RNA-seq	CD8 lymphocytes	""	""	""		Yes	""	""	""	Yes	""	""	""	3
Cole et al JCI	10.1172/JCI93041	Christopher B. Cole, David A. Russler-Germain, Shamika Ketkar, Angela M. Verdoni, Amanda M. Smith, Celia V. Bangert, Nichole M. Helton, Mindy Guo, Jeffery M. Klco, Shelly O’Laughlin, Catrina Fronick, Robert Fulton, Gue Su Chang, Allegra A. Petti, Christopher A. Miller, Timothy J. Ley	Journal of Clinical Investigation	Haploinsufficiency for DNA methyltransferase 3A predisposes hematopoietic cells to myeloid malignancies	20170904	""	1,870	Mouse	Bone marrow	Chromium	PRJNA392335	""	RNA-seq	Bone marrow cells	""	Dnmt3a+/+ vs Dnmt3a+/-	""		""	""	""	""	Yes	""	""	""	
Tang et al JEM	10.1084/jem.20170976	Qin Tang, Sowmya Iyer, Riadh Lobbardi, John C. Moore, Huidong Chen, Caleb Lareau, Christine Hebert, McKenzie L. Shaw, Cyril Neftel, Mario L. Suva, Craig J. Ceol, Andre Bernards, Martin Aryee, Luca Pinello, Iain A. Drummond, David M. Langenau	J. Exp. Med.	Dissecting hematopoietic and renal cell heterogeneity in adult zebrafish at single-cell resolution using RNA sequencing	20170906	-	246	Zebrafish	""	Smart-seq2	GSE100911	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Lee et al Cell	10.1016/j.cell.2017.07.028	Joo-Hyeon Lee, Tuomas Tammela, Matan Hofree, Jinwook Choi, Nemanja Despot Marjanovic, Seungmin Han, David Canner, Katherine Wu, Margherita Paschini, Dong Ha Bhang, Tyler Jacks, Aviv Regev, Carla F. Kim	Cell	Anatomically and Functionally Distinct Lung Mesenchymal Populations Marked by Lgr5 and Lgr6	20170907	-	384	Mouse	""	Smart-seq2	GSE101334	""	RNA-seq	smooth muscle actin cell in the lung	""	""	""	5	Yes	""	""	""	Yes	""	""	""	
Wallrapp et al Nature	10.1038/nature24029	Antonia Wallrapp, Samantha J. Riesenfeld, Patrick R. Burkett, Raja-Elie E. Abdulnour, Jackson Nyman, Danielle Dionne, Matan Hofree, Michael S. Cuoco, Christopher Rodman, Daneyal Farouq, Brian J. Haas, Timothy L. Tickle, John J. Trombetta, Pankaj Baral, Christoph S. N. Klose, Tanel Mahlakõiv, David Artis, Orit Rozenblatt-Rosen, Isaac M. Chiu, Bruce D. Levy, Monika S. Kowalczyk, Aviv Regev, Vijay K. Kuchroo	Nature	The neuropeptide NMU amplifies ILC2-driven allergic lung inflammation	20170912	-	24,793	Mouse	Lung	Chromium & Smart-seq2	GSE102299	""	RNA-seq	ILCs	""	""	""	11	Yes	""	""	""	Yes	""	""	""	
Paul et al Cell	10.1016/j.cell.2017.08.032	Anirban Paul, Megan Crow, Ricardo Raudales, Miao He, Jesse Gillis, Z. Josh Huang	Cell	Transcriptional Architecture of Synaptic Communication Delineates GABAergic Neuron Identity	20170921	""	584	Mouse	Brain	CEL-seq	GSE92522	""	RNA-seq	Motor and somatosensory cortex	""	""	6 well old		""	""	""	""	""	""	""	""	
Poran et al Nature	10.1038/nature24280	Asaf Poran, Christopher Nötzel, Omar Aly, Nuria Mencia-Trinchant, Chantal T. Harris, Monica L. Guzman, Duane C. Hassane, Olivier Elemento, Björn F. C. Kafsack	Nature	Single-cell RNA sequencing reveals a signature of sexual commitment in malaria parasites	20170922	-	18,000	Plasmodium	Whole organism	Drop-seq	SRP116718	""	RNA-seq	whole organism	""	""	""	16	Yes	Yes	""	""	Yes	""	""	""	
Stumpf et al CSystems	10.1016/j.cels.2017.08.009	Patrick S. Stumpf, Rosanna C.G. Smith, Michael Lenz, Andreas Schuppert, Franz-Josef Müller, Ann Babtie, Thalia E. Chan, Michael P.H. Stumpf, Colin P. Please, Sam D. Howison, Fumio Arai, Ben D. MacArthur	Cell Systems	Stem Cell Differentiation as a Non-Markov Stochastic Process	20170927	""	672	Mouse	Culture	BioMark	http://dx.doi.org/10.17632/g2md5gbhz7.1	97	qPCR	E14 cell line mESCs undergoing neural differentiation	""	hours 0, 24, 48, 72, 120, 168	""		""	""	""	""	""	""	""	""	
Enge et al Cell	10.1016/j.cell.2017.09.004	Martin Enge, H. Efsun Arda, Marco Mignardi, John Beausang, Rita Bottino, Seung K. Kim, Stephen R. Quake	Cell	Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns	20170929	""	2,000	Human	Pancreas	Smart-seq2	""	""	RNA-seq	""	""	""	1 month, 5-6 years, 21-22 years, 38 years, 44 years, 54 years		""	""	""	""	""	""	""	""	
van den Brink et al NMethods	10.1038/nmeth.4437	Susanne C van den Brink, Fanny Sage, Ábel Vértesy, Bastiaan Spanjaard, Josi Peterson-Maduro, Chloé S Baron, Catherine Robin, Alexander van Oudenaarden	Nat Methods	Single-cell sequencing reveals dissociation-induced gene expression in tissue subpopulations	20170929	-	1,417	Mouse, Zebrafish	""	CEL-seq & SORT-seq	GSE85755	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Rizzetto et al SReports	10.1038/s41598-017-12989-x	Simone Rizzetto, Auda A. Eltahla, Peijie Lin, Rowena Bull, Andrew R. Lloyd, Joshua W. K. Ho, Vanessa Venturi, Fabio Luciani	Sci Rep	Impact of sequencing depth and read length on single cell RNA sequencing data of T cells	20171002	10.1101/134130	72	Human	Blood	Smart-seq2	E-MTAB-4850	""	RNA-seq	T cells	""	""	""		""	""	""	""	""	""	""	""	
Briggs et al eLife	10.7554/eLife.26945	James Alexander Briggs, Victor C Li, Seungkyu Lee, Clifford J Woolf, Allon Klein, Marc W Kirschner	eLife	Mouse embryonic stem cells can differentiate via multiple paths to the same state	20171009	10.1101/124594	5,405	Mouse	""	InDrops	GSE97390	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Guo et al CSC	10.1016/j.stem.2017.09.003	Jingtao Guo, Edward J. Grow, Chongil Yi, Hana Mlcochova, Geoffrey J. Maher, Cecilia Lindskog, Patrick J. Murphy, Candice L. Wike, Douglas T. Carrell, Anne Goriely, James M. Hotaling, Bradley R. Cairns	Cell Stem Cell	Chromatin and Single-Cell RNA-Seq Profiling Reveal Dynamic Signaling and Metabolic Transitions during Human Spermatogonial Stem Cell Development	20171011	-	175	Human	Testis	SMARTer (C1)	GSE92280	""	RNA-seq	Spermatogonial stem cells	""	""	""	4	""	""	""	""	""	""	""	""	
Mathys et al CReports	10.1016/j.celrep.2017.09.039	Hansruedi Mathys, Chinnakkaruppan Adaikkan, Fan Gao, Jennie Z. Young, Elodie Manet, Martin Hemberg, Philip L. De Jager, Richard M. Ransohoff, Aviv Regev, Li-Huei Tsai	Cell Reports	Temporal Tracking of Microglia Activation in Neurodegeneration at Single-Cell Resolution	20171013	-	1,685	Mouse	Brain	Smart-seq2	GSE103334	""	RNA-seq	Microglia in hippocampus	""	WT and CK-p25	Adult	8	Yes	""	""	""	Yes	""	""	""	
Wu et al Neuron	10.1016/j.neuron.2017.09.026	Ye Emily Wu, Lin Pan, Yanning Zuo, Xinmin Li, Weizhe Hong	Neuron	Detecting Activated Cell Populations Using Single-Cell RNA-Seq	20171013	-	20,679	Mouse	Brain	Drop-seq	GSE103976	""	RNA-seq	Medial amygdala	""	Immobilization stress vs control	Adult		""	""	""	""	""	""	""	""	
Darmanis et al CReports	10.1016/j.celrep.2017.10.030	Spyros Darmanis, Steven A. Sloan, Derek Croote, Marco Mignardi, Sophia Chernikova, Peyman Samghababi, Ye Zhang, Norma Neff, Mark Kowarsky, Christine Caneda, Gordon Li, Steven D. Chang, Ian David Connolly, Yingmei Li, Ben A. Barres, Melanie Hayden Gephart, Stephen R. Quake	Cell Reports	Single-Cell RNA-Seq Analysis of Infiltrating Neoplastic Cells at the Migrating Front of Human Glioblastoma	20171031	""	3,589	Human	Brain	Smart-seq2	GSE84465	""	RNA-seq	Glioblastoma	Glioblastoma	Tumor vs non-Tumor	""		""	""	""	""	Yes	""	""	""	
Haber et al Nature	10.1038/nature24489	Adam L. Haber, Moshe Biton, Noga Rogel, Rebecca H. Herbst, Karthik Shekhar, Christopher Smillie, Grace Burgin, Toni M. Delorey, Michael R. Howitt, Yarden Katz, Itay Tirosh, Semir Beyaz, Danielle Dionne, Mei Zhang, Raktima Raychowdhury, Wendy S. Garrett, Orit Rozenblatt-Rosen, Hai Ning Shi, Omer Yilmaz, Ramnik J. Xavier, Aviv Regev	Nature	A single-cell survey of the small intestinal epithelium	20171107	-	53,193	Mouse	Small intestine	Smart-seq2 & GemCode	GSE92332	""	RNA-seq	Epithelial cells	""	""	""	30	Yes	Yes	No	Yes	Yes	""	""	""	
Schafer et al Nature	10.1038/nature24676	Sebastian Schafer, Sivakumar Viswanathan, Anissa A. Widjaja, Wei-Wen Lim, Aida Moreno-Moral, Daniel M. DeLaughter, Benjamin Ng, Giannino Patone, Kingsley Chow, Ester Khin, Jessie Tan, Sonia P. Chothani, Lei Ye, Owen J. L. Rackham, Nicole S. J. Ko, Norliza E. Sahib, Chee Jian Pua, Nicole T. G. Zhen, Chen Xie, Mao Wang, Henrike Maatz, Shiqi Lim, Kathrin Saar, Susanne Blachut, Enrico Petretto, Sabine Schmidt, Tracy Putoczki, Nuno Guimarães-Camboa, Hiroko Wakimoto, Sebastiaan van Heesch, Kristmundur Sigmundsson, See L. Lim, Jia L. Soon, Victor T. T. Chao, Yeow L. Chua, Teing E. Tan, Sylvia M. Evans, Yee J. Loh, Muhammad H. Jamal, Kim K. Ong, Kim C. Chua, Boon-Hean Ong, Mathew J. Chakaramakkil, Jonathan G. Seidman, Christine E. Seidman, Norbert Hubner, Kenny Y. K. Sin, Stuart A. Cook	Nature	IL-11 is a crucial determinant of cardiovascular fibrosis	20171113	-	4,550	Mouse	Heart	Chromium	GSE107909	""	RNA-seq	Cardiac fibroblasts	""	""	""	18	Yes	No	No	No	Yes	""	""	""	
Pal et al NCommunications	10.1038/s41467-017-01560-x	Bhupinder Pal, Yunshun Chen, François Vaillant, Paul Jamieson, Lavinia Gordon, Anne C. Rios, Stephen Wilcox, Naiyang Fu, Kevin He Liu, Felicity C. Jackling, Melissa J. Davis, Geoffrey J. Lindeman, Gordon K. Smyth, Jane E. Visvader	Nat Commun	Construction of developmental lineage relationships in the mouse mammary gland by single-cell RNA profiling	20171114	-	3,768	Mouse	Breast	Chromium & SMARTer (C1)	GSE103275	""	RNA-seq	mammary gland epithelial cells	""	""	""	7	""	""	""	""	""	""	""	""	
Herring et al CSystems	10.1016/j.cels.2017.10.012	Charles A. Herring, Amrita Banerjee, Eliot T. McKinley, Alan J. Simmons, Jie Ping, Joseph T. Roland, Jeffrey L. Franklin, Qi Liu, Michael J. Gerdes, Robert J. Coffey, Ken S. Lau	Cell Systems	Unsupervised Trajectory Analysis of Single-Cell RNA-Seq and Imaging Data Reveals Alternative Tuft Cell Origins in the Gut	20171115	-	2,402	Mouse	Colon	InDrops	GSE102698	""	RNA-seq	Colonic epithelium	""	""	""		""	""	""	""	""	""	""	""	
Li et al Cell	10.1016/j.cell.2017.10.019	Hongjie Li, Felix Horns, Bing Wu, Qijing Xie, Jiefu Li, Tongchao Li, David J. Luginbuhl, Stephen R. Quake, Liqun Luo	Cell	Classifying Drosophila Olfactory Projection Neuron Subtypes by Single-Cell RNA Sequencing	20171116	""	1,842	Drosophila	Brain	Smart-seq2	GSE100058	""	RNA-seq	Olfactory projection neurons	""	""	Pupal and adult		""	""	""	""	""	""	""	""	
Hochgarner et al SRep	10.1038/s41598-017-16546-4	Hannah Hochgerner, Peter Lönnerberg, Rebecca Hodge, Jaromir Mikes, Abeer Heskol, Hermann Hubschle, Philip Lin, Simone Picelli, Gioele La Manno, Michael Ratz, Jude Dunne, Syed Husain, Ed Lein, Maithreyan Srinivasan, Amit Zeisel, Sten Linnarsson	Sci Rep	STRT-seq-2i: dual-index 5ʹ single cell and nucleus RNA-seq on an addressable microwell array	20171121	10.1101/126268	4,220	Human, Mouse	Brain	STRT-seq-2i	GSE101601	""	RNA-seq	Somatosensory cortex	""	""	""	28	""	""	""	""	""	""	""	""	
Karamitros et al NImmunology	10.1038/s41590-017-0001-2	Dimitris Karamitros, Bilyana Stoilova, Zahra Aboukhalil, Fiona Hamey, Andreas Reinisch, Marina Samitsch, Lynn Quek, Georg Otto, Emmanouela Repapi, Jessica Doondeea, Batchimeg Usukhbayar, Julien Calvo, Stephen Taylor, Nicolas Goardon, Emmanuelle Six, Francoise Pflumio, Catherine Porcher, Ravindra Majeti, Berthold Göttgens, Paresh Vyas	Nat Immunol	Single-cell analysis reveals the continuum of human lympho-myeloid progenitor cells	20171121	-	420	Human	""	Smart-seq2	GSE100618	""	RNA-seq	lympho-myeloid progenitors	""	""	""		""	""	""	""	""	""	""	""	
Pfeffer et al FICN	10.3389/fncel.2017.00376	Carsten K. Pfeffer, Riccardo Beltramo	Front. Cell. Neurosci.	Correlating Anatomy and Function with Gene Expression in Individual Neurons by Combining in Vivo Labeling, Patch Clamp, and Single Cell RNA-seq	20171130	-	594	Mouse	""	CEL-seq	""	""	RNA-seq	neurons	""	""	""	7	No	No	No	Yes	Yes	""	""	""	
Puram et al Cell	10.1016/j.cell.2017.10.044	Sidharth V. Puram, Itay Tirosh, Anuraag S. Parikh, Anoop P. Patel, Keren Yizhak, Shawn Gillespie, Christopher Rodman, Christina L. Luo, Edmund A. Mroz, Kevin S. Emerick, Daniel G. Deschler, Mark A. Varvares, Ravi Mylvaganam, Orit Rozenblatt-Rosen, James W. Rocco, William C. Faquin, Derrick T. Lin, Aviv Regev, Bradley E. Bernstein	Cell	Single-Cell Transcriptomic Analysis of Primary and Metastatic Tumor Ecosystems in Head and Neck Cancer	20171130	-	5,902	Human	""	Smart-seq2	GSE103322	""	RNA-seq	head and neck cancer	""	""	""	14	Yes	""	""	""	""	""	""	""	
Weintraub et al Cell	10.1016/j.cell.2017.11.008	Abraham S. Weintraub, Charles H. Li, Alicia V. Zamudio, Alla A. Sigova, Nancy M. Hannett, Daniel S. Day, Brian J. Abraham, Malkiel A. Cohen, Behnam Nabet, Dennis L. Buckley, Yang Eric Guo, Denes Hnisz, Rudolf Jaenisch, James E. Bradner, Nathanael S. Gray, Richard A. Young	Cell	YY1 Is a Structural Regulator of Enhancer-Promoter Loops	20171207	-	5,017	Mouse	Embryo	Chromium	GSE103574	""	RNA-seq	Embryoid bodies	""	""	""	3	Yes	No	No	Yes	Yes	""	""	""	
